ACC 311,ACCOUNTING THEORY AND PRACTICE,3,HND I,FIRST,ACCOUNTANCY,
GNS 318,BUSINESS COMMUNICATION I,3,HND I,FIRST,ACCOUNTANCY,
ACC 317,MANAGEMENT INFORMATION SYSTEM I,3,HND I,FIRST,ACCOUNTANCY,
ACC 318,MANAGERIAL ECONOMICS,3,HND I,FIRST,ACCOUNTANCY,
ACC 316,PUBLIC FINANCE,3,HND I,FIRST,ACCOUNTANCY,
ACC 315,QUANTITATIVE TECHNIQUES,3,HND I,FIRST,ACCOUNTANCY,
ACC 312,ADVANCED COSTING I,3,HND I,SECOND,ACCOUNTANCY,
ACC 321,ADVANCED FINANCIAL ACCOUNTING I,3,HND I,SECOND,ACCOUNTANCY,
BAM 327,BUSINESS RESEARCH METHODS,3,HND I,SECOND,ACCOUNTANCY,
ACC 313,EXECUTORSHIP AND BANKRUPTCY LAW,2,HND I,SECOND,ACCOUNTANCY,
ACC 327,MANAGEMENT INFORMATION SYSTEM II,2,HND I,SECOND,ACCOUNTANCY,
GNS 321,PROFESSIONAL CAREER DEVELOPMENT,3,HND I,SECOND,ACCOUNTANCY,
ACC 322,ADVANCED COSTING II,3,HND II,FIRST,ACCOUNTANCY,
ACC 324,ADVANCED TAXATION II,3,HND II,FIRST,ACCOUNTANCY,
EED 323,ENTREPRENEURSHIP DEVELOPMENT,3,HND II,FIRST,ACCOUNTANCY,
ACC 413,FINANCIAL MANAGEMENT I,3,HND II,FIRST,ACCOUNTANCY,
ACC 326,PUBLIC SECTOR ACCOUNTING I,3,HND II,FIRST,ACCOUNTANCY,
ACC 414,ADVANCED TAXATION II,3,HND II,SECOND,ACCOUNTANCY,
GNS 416,BUSINESS COMMUNICATION II,2,HND II,SECOND,ACCOUNTANCY,
ACC 423,FINANCIAL MANAGEMENT II,3,HND II,SECOND,ACCOUNTANCY,
ACC 416,PUBLIC SECTOR ACCOUNTING II,3,HND II,SECOND,ACCOUNTANCY,
BAM 418,SMALL BUSINESS MANAGEMENT,2,HND II,SECOND,ACCOUNTANCY,
ACC 411,ADVANCED FINANCIAL ACCOUNTING II,3,HND III,FIRST,ACCOUNTANCY,
ACC 412,AUDITING AND INVESTIGATIONS,3,HND III,FIRST,ACCOUNTANCY,
ACC 415,MANAGEMENT ACCOUNTING I,3,HND III,FIRST,ACCOUNTANCY,
ACC 424,MULTI-DISCIPLINARY CASE STUDY,2,HND III,FIRST,ACCOUNTANCY,
GNS 424,PROFESSIONAL ETHICS AND SOCIAL RESPONSIBILITY,2,HND III,FIRST,ACCOUNTANCY,
ACC 421,ADVANCED FINANCIAL ACCOUNTING III,3,HND III,SECOND,ACCOUNTANCY,
ACC 422,AUDIT PRACTICE AND ASSURANCE SERVICES,3,HND III,SECOND,ACCOUNTANCY,
ACC 425,MANAGEMENT ACCOUNTING II,3,HND III,SECOND,ACCOUNTANCY,
ACC 429,PROJECT,6,HND III,SECOND,ACCOUNTANCY,
BAM 112,BUSINESS MATHEMATICS I,2,ND I,FIRST,ACCOUNTANCY,
GNS 111,CITIZENSHIP EDUCATION II,2,ND I,FIRST,ACCOUNTANCY,
COM 111,INTRODUCTION TO COMPUTER,2,ND I,FIRST,ACCOUNTANCY,
INS 111,INTRODUCTION TO INSURANCE,2,ND I,FIRST,ACCOUNTANCY,
ACC 111,PRINCIPLES OF ACCOUNTS I,3,ND I,FIRST,ACCOUNTANCY,
BFN 112,PRINCIPLES OF ECONOMICS I,3,ND I,FIRST,ACCOUNTANCY,
BAM 113,PRINCIPLES OF LAW,2,ND I,FIRST,ACCOUNTANCY,
GNS 112,TECHNICAL ENGLISH,2,ND I,FIRST,ACCOUNTANCY,
GNS 118,USE OF LIBRARY,1,ND I,FIRST,ACCOUNTANCY,
BAM 122,BUSINESS MATHEMATICS II,2,ND I,SECOND,ACCOUNTANCY,
GNS 121,CITIZENSHIP EDUCATION II,2,ND I,SECOND,ACCOUNTANCY,
ICT 121,INFORMATION TECHNOLOGY ESSENTIALS I,3,ND I,SECOND,ACCOUNTANCY,
INS 121,PRINCIPLES AND PRACTICE OF INSURANCE,2,ND I,SECOND,ND ACCOUNTANCY FULL TIME,
ACC 121,PRINCIPLES OF ACCOUNTS II,3,ND I,SECOND,ACCOUNTANCY,
BAM 124,PRINCIPLES OF ECONOMICS II,3,ND I,SECOND,ACCOUNTANCY,
GNS 122,TECHNICAL ENGLISH II,2,ND I,SECOND,ACCOUNTANCY,
