1,ACC 111,PRINCIPLES OF ACCOUNTS I,3,1,1,1
4,ACC 122,PRINCIPLES OF MANAGEMENT II,3,3,1,1
5,ACC 123,BUSINESS LAW,2,2,1,1
6,ACC 124,E-ACCOUNTING,1,2,1,1
7,ACC 211,FINANCIAL ACCOUNTING I,3,2,1,1
8,ACC 214,TAXATION I,3,3,1,1
9,ACC 222,COST ACCOUNTING II,3,3,1,1
11,ACC 223,AUDITING II,3,3,1,1
13,ACC 226,COMPANY LAW,2,3,1,1
14,ACC 311,ACCOUNTING THEORY AND PRACTICE,3,4,1,1
15,ACC 315,QUANTITATIVE TECHNIQUES,3,4,1,1
16,ACC 316,PUBLIC FINANCE,3,4,1,1
18,ACC 317,MANAGEMENT INFORMATION SYSTEM I,3,4,1,1
19,ACC 318,MANAGERIAL ECONOMICS,3,4,1,1
20,ACC 322,ADVANCED COSTING II,3,5,1,1
21,ACC 324,ADVANCED TAXATION II,3,5,1,1
22,ACC 326,PUBLIC SECTOR ACCOUNTING I,3,5,1,1
23,ACC 411,ADVANCED FINANCIAL ACCOUNTING II,3,6,1,1
24,ACC 412,AUDITING AND INVESTIGATIONS,3,6,1,1
25,ACC 413,FINANCIAL MANAGEMENT I,3,5,1,1
26,ACC 415,MANAGEMENT ACCOUNTING I,3,6,1,1
28,ACC 424,MULTI-DISCIPLINARY CASE STUDY,2,6,1,1
30,BAM 112,BUSINESS MATHEMATICS I,2,1,1,1
32,BAM 113,PRINCIPLES OF LAW,2,1,1,1
43,BAM 222,BUSINESS STATISTICS II,2,3,1,1
56,BFN 111,ELEMENTS OF BANKING I,2,2,1,1
57,BFN 112,PRINCIPLES OF ECONOMICS I,3,1,1,1
58,BFN 213,BUSINESS RESEARCH METHODS,2,3,1,1
59,COM 111,INTRODUCTION TO COMPUTER,2,1,1,1
94,EED 126,INTRODUCTION TO ENTREPRENEURSHIP,2,2,1,1
99,EED 323,ENTREPRENEURSHIP DEVELOPMENT,3,5,1,1
102,GNS 111,CITIZENSHIP EDUCATION II,2,1,1,1
109,GNS 112,TECHNICAL ENGLISH,2,1,1,1
118,GNS 118,USE OF LIBRARY,1,1,1,1
131,GNS 318,BUSINESS COMMUNICATION I,3,4,1,1
135,GNS 424,PROFESSIONAL ETHICS AND SOCIAL RESPONSIBILITY,2,6,1,1
137,ICT 211,INFORMATION TECHNOLOGY ESSENTIALS II,3,3,1,1
142,INS 111,INTRODUCTION TO INSURANCE,2,1,1,1
